sentence,category,score
There should not be imposed on the respondent a duty which the appellant chose not to make a contractual one because the parties sought to regulate their relationship by the Contract and the arbitration clause provided an adequate remedy in the event of under-certification.,UNCAT,0.820936799
"Therefore, there were cogent policy reasons why a duty of care should not be imposed on the respondent: at [96], [101] and [114].",UNCAT,0.770271719
"[Observation: To balance fair and just results and the imposition of indeterminate liability on an indeterminate class of tortfeasors without compromising the tort of negligence as a tool for the fair redistribution of economic wealth was the crucial issue for the courts, and the answer was in legal control mechanisms developed by the courts: at [29] and [30].]",AXIOM,0.421254218
Case(s) referred to,UNCAT,1
Alcock v Chief Constable of South Yorkshire Police [1992] 1 AC 310 (refd),LEGAL_TEST,0.640000165
Anns v Merton London Borough Council [1978] AC 728 (folld),CONCLUSION,0.72044915
Arenson v Casson Beckman Rutley & Co [1977] AC 405 (refd),LEGAL_TEST,0.614360332
Bryan v Maloney (1995) 69 ALJR 375 (refd),UNCAT,0.999253571
Caparo Industries Plc v Dickman [1989] QB 653 (refd),LEGAL_TEST,0.999628186
Caparo Industries Plc v Dickman [1990] 2 AC 605 (refd),LEGAL_TEST,0.999711454
Cooper v Hobart (2001) 206 DLR (4th) 193 (refd),UNCAT,0.999999762
Customs and Excise Commissioners v Barclays Bank plc [2005] 1 WLR 2082 (not folld),LEGAL_TEST,0.57893461
Customs and Excise Commissioners v Barclays Bank plc [2007] 1 AC 181 (refd),LEGAL_TEST,0.971117258
D v Kong Sim Guan [2003] 3 SLR(R) 146; [2003] 3 SLR 146 (refd),CONCLUSION,0.49113366
Donoghue v Stevenson [1932] AC 562 (refd),LEGAL_TEST,0.985268533
Dorset Yacht Co Ltd v Home Office [1969] 2 QB 412 (refd),CONCLUSION,0.999890447
Edgeworth Constructions Ltd v ND Lea & Associates Ltd (1993) 107 DLR (4th) 169 (refd),AXIOM,0.826408327
Elguzouli-Daf v Commission of Police of the Metropolis [1995] QB 335 (refd),AXIOM,0.590133548
Governors of the Peabody Donation Fund v Sir Lindsay Parkinson & Co Ltd [1985] AC 210 (refd),AXIOM,0.950048387
Hay or Bourhill v Young [1943] AC 92 (refd),LEGAL_TEST,0.997252405
Heaven v Pender (1883) 11 QBD 503 (refd),UNCAT,0.996959805
Hedley Byrne & Co Ltd v Heller & Partners Ltd [1964] AC 465 (refd),AXIOM,0.827632308
Ho Soo Fong v Standard Chartered Bank [2007] 2 SLR(R) 181; [2007] 2 SLR 181 (refd),LEGAL_TEST,0.485709995
Ikumene Singapore Pte Ltd v Leong Chee Leng [1993] 2 SLR(R) 480; [1993] 3 SLR 24 (refd),AXIOM,0.653843999
J Jarvis and Sons Ltd v Castle Wharf Developments Ltd [2001] EWCA Civ 19 (refd),AXIOM,0.946319759
Junior Books Ltd v Veitchi Co Ltd [1983] 1 AC 520 (refd),AXIOM,0.912329197
Leigh and Sillivan Ltd v Aliakmon Shipping Co Ltd [1985] QB 350 (refd),AXIOM,0.87876296
Leigh and Sillavan Ltd v Aliakmon Shipping Co Ltd [1986] AC 785 (refd),AXIOM,0.722063839
Leon Engineering & Construction Co Ltd v Ka Duk Investment Co Ltd (1989) 47 BLR 139 (refd),UNCAT,0.953964412
Man B&W Diesel S E Asia Pte Ltd v PT Bumi International Tankers [2004] 2 SLR(R) 300; [2004] 2 SLR 300 (refd),LEGAL_TEST,0.83420217
Marc Rich & Co AG v Bishop Rock Marine Co Ltd [1994] 1 WLR 1071 (refd),AXIOM,0.785505772
Mohd bin Sapri v Soil-Build (Pte) Ltd [1996] 2 SLR(R) 223; [1996] 2 SLR 505 (refd),LEGAL_TEST,0.957401335
Murphy v Brentwood District Council [1991] 1 AC 398 (not folld),CONCLUSION,0.986643076
Pacific Associates Inc v Baxter [1990] 1 QB 993 (folld),LEGAL_TEST,0.974277794
Pang Koi Fa v Lim Djoe Phing [1993] 2 SLR(R) 366; [1993] 3 SLR 317 (refd),CONCLUSION,0.997811496
Richardson v Mellish (1824) 2 Bing 229; 130 ER 294 (refd),CONCLUSION,0.543514788
Rolls-Royce New Zealand Ltd v Carter Holt Harvey Ltd [2005] 1 NZLR 324 (refd),AXIOM,0.353087693
RSP Architects Planners & Engineers v MCST Plan No 1075 [1999] 2 SLR(R) 134; [1999] 2 SLR 449 (refd),AXIOM,0.522404909
RSP Architects Planners & Engineers v Ocean Front Pte Ltd [1995] 3 SLR(R) 653; [1996] 1 SLR 113 (refd),LEGAL_TEST,0.513115764
Smith v Eric S Bush [1990] 1 AC 831 (refd),LEGAL_TEST,0.896710455
South Pacific Manufacturing Co Ltd v New Zealand Security Consultants & Investigations Ltd [1992] 2 NZLR 282 (refd),AXIOM,0.57454282
Spartan Steel & Alloys Ltd v Martin & Co (Contractors) Ltd [1973] QB 27 (refd),AXIOM,0.969373584
Standard Chartered Bank v Coopers & Lybrand [1993] 3 SLR(R) 29; [1993] 3 SLR 712 (refd),AXIOM,0.602017522
Sunny Metal & Engineering Pte Ltd v Ng Khim Ming Eric [2007] 1 SLR(R) 853; [2007] 1 SLR 853 (refd),LEGAL_TEST,0.610338569
"Sunrise Crane, The [2004] 4 SLR(R) 715; [2004] 4 SLR 715 (refd)",LEGAL_TEST,0.505920231
Sutherland Shire Council v Heyman (1985) 60 ALR 1 (folld),CONCLUSION,0.999983549
TV Media Pte Ltd v De Cruz Andrea Heidi [2004] 3 SLR(R) 543; [2004] 3 SLR 543 (refd),LEGAL_TEST,0.604778051
"Ultramares Corp v Touche, Niven & Co 255 NY 170 (1931) (refd)",CONCLUSION,0.994098902
United Project Consultants Pte Ltd v Leong Kwok Onn [2005] 4 SLR(R) 214; [2005] 4 SLR 214 (refd),CONCLUSION,0.581436753
Yuen Kun Yeu v Attorney-General of Hong Kong [1988] AC 175 (refd),UNCAT,0.960336208
Legislation referred to,UNCAT,1
"Defence Science and Technology Agency Act (Cap 75A, 2001 Rev Ed)",UNCAT,0.999029398
[Editorial note: The decision from which this appeal arose is reported at [2007] 1 SLR(R) 720.],LEGAL_TEST,0.363398999
8-Aug-07,UNCAT,1
Chan Sek Keong CJ (delivering the grounds of decision of the court):,UNCAT,0.994888127
Introduction,UNCAT,1
"1       This was an appeal against the decision of the trial judge, who dismissed the claim of Spandeck Engineering (S) Pte Ltd (“the appellant”) in the tort of negligence against the Defence Science & Technology Agency (“the respondent”).",UNCAT,0.985510826
Her judgment is reported in Spandeck Engineering (S) Pte Ltd v Defence Science & Technology Agency [2007] 1 SLR(R) 720 (“the Judgment”).,AXIOM,0.545027435
"At the end of the hearing, we unanimously dismissed the appeal.",UNCAT,0.999795377
We now give our reasons.,UNCAT,1
"2       Apart from the substantive rights and liabilities of the parties, which must surely form the primary focus of any judicial decision, this case was also about an intensely practical problem in the law of negligence: How does one ascertain whether a duty of care exists in law between one person and another where there is no pre-existing contractual or legal relationship between them?",UNCAT,0.652085006
The common law is rudderless and surprisingly fraught with difficulties and uncertainties in relation to this deceptively simple and yet important question.,UNCAT,0.841675282
The courts in Singapore are no less spared from this problem which we will now address.,UNCAT,0.999974251
We turn first to the facts of the present case.,UNCAT,0.999987006
Background facts,UNCAT,1
Award of the contract for the project,UNCAT,0.999583066
3       The appellant’s claim stemmed from a dispute relating to the building project known as “The Proposed Redevelopment of Medical Camp in Nee Soon Camp Lot 212 PT MK 13 at Transit Road – Project LE(D) 1068 C08 MINDEF/DSTA” (“the Project”).,UNCAT,0.998854637
"As its name suggests, the Project was to redevelop a medical facility at Nee Soon Army Camp for the Ministry of Defence (“Mindef”).",UNCAT,0.999880314
The Government of Singapore (“the Employer”) put the Project out for tender to which the appellant submitted a “base tender” and an “alternative tender”.,UNCAT,0.999720633
"In relation to this “alternative tender”, which was submitted on 15 March 1999, the appellant offered an alternative pre-cast/structural design.",UNCAT,0.982403159
"This alternative design consisted of a change in the original cast-in-situ design to the pre-cast structure design which would result in cost savings of about $200,000 and a shortening of the construction time by two months.",UNCAT,0.945485055
The Employer accepted the alternative design and awarded the appellant a contract dated 24 June 1999 (“the Contract”) at a lump sum price of $31.78m to execute and complete the Project.,UNCAT,0.998261631
The agreed commencement date of the Contract was 15 June 1999 and the completion date was 14 January 2001.,UNCAT,0.999894023
Salient terms of the Contract,UNCAT,0.99943167
"4       The Contract incorporated the terms of the Public Sector Standard Conditions of Contract (“PSSCOC”), by which an appointed superintending officer (“SO”) was responsible for the administration and supervision of the Project, including certifying interim payments in respect of the appellant’s work for the Project.",UNCAT,0.883921444
"In particular, the Contract provided in cl 2.8(1) that:",UNCAT,0.856739759
"The Superintending Officer, the Superintending Officer’s Representative or any assistant appointed … shall at no time be under any obligation or duty to the Contractor [ie, the appellant] either on behalf of the Employer or his own account to exercise or not to exercise any of his powers under the Contract, nor shall any failure to do so on his own part in any way prejudice the rights of the Employer against the Contractor or render the Employer liable to the Contractor.",UNCAT,0.817722261
"5       In relation to the settlement of disputes relating to the Project, cl 34 was the governing clause.",UNCAT,0.988534153
"Its provisions, in so far as they are material, are set out below:",UNCAT,0.991149068
34.1  Reference to the Superintending Officer,UNCAT,0.999999642
"(1)    If a dispute or difference of whatsoever kind shall arise between the Employer or the Superintending Officer or the Superintending Officer’s Representative and the Contractor in connection with or arising out of the Contract or the execution of the Works … including any dispute or difference as to any … certificate or valuation of the Superintending Officer or the Superintending Officer’s Representative, it shall in the first place be referred by either party in writing to the Superintending Officer for his decision. …",UNCAT,0.974600434
…,UNCAT,1
34.2  Reference to Arbitration,UNCAT,0.999998569
"(1)    If either the Employer or Contractor is dissatisfied with the decision of the Superintending Officer made pursuant to Clause 34.1 hereof, … then the Employer or the Contractor may … give notice to the other party with a copy for information to the Superintending Officer of his intention to refer the decision or the dispute or difference that had not been decided to an arbitrator. …",UNCAT,0.940075517
"However, the amount of damages for which the Employer might be liable to the appellant was qualified by cl 32.8 of the Contract, which provided as follows:",UNCAT,0.756644785
32.8  Delay in Certification,UNCAT,0.999997854
"Under no circumstances shall the Employer be liable to pay to the Contractor [ie, the appellant] any damages, whether by way of interest or otherwise, for any failure or delay by the Superintending Officer in certifying any payment due or payable to the Contractor.",UNCAT,0.85775739
[emphasis added],UNCAT,0.999999642
Appointment of the SO and consultants,UNCAT,0.999919415
"6       On 7 July 1999, Mindef advised the appellant by letter that Quek Kheng Song (“QKS”) and Huang Siong Hui were appointed the SO and SO’s representative respectively, with Peh Chew Seng as the alternate SO’s representative in the absence of the SO’s representative.",UNCAT,0.997072339
"At that time, QKS was employed by the Employer as an officer in the Land & Estate Organisation in Mindef.",UNCAT,0.994218946
"In addition, various individuals and entities were also appointed as consultants to provide professional services for the Project (“the Consultants”).",UNCAT,0.999892235
"Among the Consultants appointed was KPK Quantity Surveyors (1995) Pte Ltd (“KPK”), which was appointed the quantity surveyor for the Project.",UNCAT,0.969465435
"In addition, RDC Architects Pte Ltd (“RDC”) was appointed the architect for the Project.",UNCAT,0.960917056
"7       Subsequent to that, the respondent was constituted under the Defence Science and Technology Agency Act (Cap 75A, 2001 Rev Ed) in March 2000 and it was around that time that the respondent assumed the role of the SO.",UNCAT,0.954687059
QKS was no longer the SO for the Project by this time but continued to represent the respondent at the Project after his employment was transferred from the Employer to the respondent.,UNCAT,0.997559071
Summary of tender and cost breakdown,UNCAT,0.999998569
8       The tender documents for the Project required the appellant to submit a summary of tender (“SOT”) as well as a cost breakdown (“CBD”).,UNCAT,0.999851108
The SOT and CBD were documents prepared by KPK listing out all the items of work required for the Project being tendered.,UNCAT,0.999826372
"It required the contractors who were tendering for the Project to price this itemised list as a cost breakdown of the lump sum contract tender price, in the form of the CBD.",UNCAT,0.998717427
The SOT was a summary of the detailed cost itemisation set out in the CBD.,UNCAT,0.999960184
Original SOT and CBD,UNCAT,1
"9       As alluded to earlier (at [3] above), as part of its bid, the appellant had offered an alternative tender in addition to the base tender.",UNCAT,0.984540045
The SOT and CBD which the appellant had submitted with its tenders were based on the base tender and did not reflect the breakdown under the alternative tender.,UNCAT,0.997349143
This meant that the original SOT and CBD did not accurately reflect the scope and actual value of the works to be carried out by the appellant under the alternative tender.,UNCAT,0.987313092
SOT and CBD incorporated into the Contract,UNCAT,0.988559306
"10     As such, on the basis of the Employer accepting the appellant’s alternative tender, KPK requested the appellant to submit a revised SOT and CBD to reflect the change of the design.",UNCAT,0.989859164
"Pursuant to this request, the appellant submitted a revised SOT and CBD dated 24 May 1999, which it alleged was incorporated into the Contract without any further revision.",UNCAT,0.991802752
"On the other hand, the respondent contended that there were further revisions to the SOT and CBD dated 24 May 1999 and that the final SOT and CBD were finalised by KPK with the appellant and incorporated into the Contract in or about October 1999.",UNCAT,0.971139491
"11     In the Judgment at [9], the trial judge resolved this issue in favour of the respondent, where she said:",UNCAT,0.400789976
"After the Employer had accepted the plaintiff’s alternative proposal, KPK requested the plaintiff to submit a revised SOT to reflect the change in design.",UNCAT,0.998748779
The plaintiff submitted the first revision to KPK on 24 May 1999.,UNCAT,0.999993443
"After further revisions by the plaintiff, the revised SOT and cost breakdown (“CBD”) for the contract price were finalised by KPK with the plaintiff and incorporated into the Contract documents in October 1999. [",UNCAT,0.993806124
emphasis added],UNCAT,1
We agreed with the trial judge’s finding.,UNCAT,0.999998927
It was clear to us that the SOT bound into the Contract documents was not the same as the appellant’s revised SOT dated 24 May 1999.,UNCAT,0.99550122
That the SOT bound into the Contract was not a version prior to the SOT dated 24 May 1999 was supported by the fact that the total cost and contract period were based on the alternative tender.,UNCAT,0.922278821
"Given that the revised SOT dated 24 May 1999 was the first SOT based on the alternative tender, it must follow that any other SOT based on the alternative tender must have come after the SOT dated 24 May 1999.",UNCAT,0.996551394
"Accordingly, contrary to the appellant’s contention, the SOT dated 24 May 1999 was indeed revised before it was incorporated into the Contract.",UNCAT,0.991063714
This will henceforth be referred to as “the Contract SOT” while the CBD incorporated into the Contract will be known as “the Contract CBD”.,UNCAT,0.958877444
Exercise to revise the Contract SOT and the Contract CBD,UNCAT,0.989616513
"12     The appellant contended that, in the course of submitting its progress claims, it discovered that numerous items related to the alternative tender were omitted from the Contract SOT and the Contract CBD and this in turn allegedly led to the under-certification of the progress payments to the appellant.",UNCAT,0.875132501
This had occurred even though the Contract SOT and the Contract CBD were bound into the Contract documents after revisions by the appellant itself.,UNCAT,0.988347828
"These alleged deficiencies in the Contract SOT and the Contract CBD were highlighted by the appellant by a letter dated 29 September 2000, in which it also submitted a revised SOT and CBD to KPK and requested KPK to review and approve them for use in the future assessment of the appellant’s progress claims.",UNCAT,0.86264205
"13     The request was initially rejected by the Consultants by their letter of 11 October 2000, who regarded it as a departure from the terms of the Contract.",UNCAT,0.995413363
"However, by this time, the respondent and the Consultants had received many unsolicited letters from sub-contractors and suppliers of the appellant complaining that they had been underpaid by the appellant.",UNCAT,0.979718566
They also requested the Employer to arrange for direct payment to be made to them for work done.,UNCAT,0.997416019
"Eventually, in view of these developments, a meeting was held on 16 November 2000 between the representatives of the appellant and respondent.",UNCAT,0.993416667
"At this meeting, the appellant’s managing director, Dr Chi Chao-Ton Tony (“Dr Chi”), repeated the request for the Contract SOT and the Contract CBD to be revised so as to alleviate the appellant’s cash-flow problems.",UNCAT,0.996916294
"14     The respondent, on behalf of the Employer, expressed its willingness to consider the appellant’s request to adjust the Contract SOT and the Contract CBD subject to the following conditions:",UNCAT,0.923239231
(a)     KPK would evaluate the new SOT and CBD proposed by the appellant to try to ensure that adequate money was allocated for the uncompleted works; and,UNCAT,0.987480581
"(b)     the appellant was to submit a performance bond, equivalent to the amount of money proposed to be reallocated from the uncompleted works, to safeguard the Employer’s interest.",UNCAT,0.969308257
"At the meeting, the appellant agreed to the conditions stated above and KPK was tasked to evaluate the appellant’s proposed revision of the Contract SOT and the Contract CBD and to subsequently submit its recommendations to the respondent.",UNCAT,0.988109648
15     KPK completed its assessment on or about 22 January 2001 and a copy of the proposed revised SOT and CBD (“KPK-revised SOT and CBD”) was sent by KPK to the appellant by a letter dated 1 February 2001.,UNCAT,0.998051763
"By way of a letter dated 20 February 2001, the appellant agreed to adopt the KPK-revised SOT and CBD.",UNCAT,0.999795973
"Subsequently, by way of a letter dated 6 April 2001, RDC reminded the appellant of the discussion that had taken place at the meeting in November 2000 and requested it to propose the amount of bond money for the Employer’s consideration.",UNCAT,0.990834832
Abandonment of exercise to revise the Contract SOT and the Contract CBD,UNCAT,0.995125234
"16     Later, at a meeting held on 10 April 2001 between the representatives of the appellant and the respondent, RDC said that if the KPK-revised SOT and CBD were implemented, an extra amount of $200,000 would have to be paid upfront to the appellant in the forthcoming progress payment.",UNCAT,0.99628818
This represented a risk to the Employer and that was why a performance bond was necessary before the KPK-revised SOT and CBD could be implemented.,UNCAT,0.993704259
"As recorded in the minutes of the meeting, Dr Chi then informed the respondent and its representatives that the appellant had decided not to proceed with the implementation of the KPK-revised SOT and CBD because there was “insufficient incentive” to do so.",UNCAT,0.992551565
"As such, and at the appellant’s request, the exercise to revise the Contract SOT and the Contract CBD was abandoned.",UNCAT,0.991251647
Novation of the Contract,UNCAT,0.999983788
"17     During a meeting on 24 May 2001 and by way of a letter dated 25 May 2001, the appellant informed the respondent that it was considering the possibility of novating the Contract to another contractor.",UNCAT,0.998974919
The Contract was eventually novated to Neo Corporation Pte Ltd (“NeoCorp”).,UNCAT,0.803632617
"The novation agreement between the appellant, the Employer and NeoCorp was signed on 16 July 2001.",UNCAT,0.999856353
"18     At the time of the novation, the appellant had only completed about half of the Contract work.",UNCAT,0.989514709
"In the ordinary course of events, the appellant would have been paid the full lump sum at the end of the Project and would also have been entitled to submit to the Consultants for certification any claim for works not certified.",UNCAT,0.995482922
"If disputes arose, the appellant was entitled to submit these disputes for resolution in accordance with the arbitration clause (ie, cl 34 of the Contract).",UNCAT,0.984223425
"However, the appellant lost this right when it novated the Contract to NeoCorp in July 2001.",UNCAT,0.994243443
This was the reason why the appellant had decided to pursue a claim against the respondent in tort to recover its alleged losses.,UNCAT,0.994737685
Appellant’s claim and trial judge’s findings,UNCAT,0.996146441
"19     The appellant claimed against the respondent for negligence on the basis that the respondent owed it a duty of care to apply professional skill and judgment in certifying, in a fair and unbiased manner, payment for work carried out by the appellant to avoid causing it any loss due to undervaluation and under-certification of works.",UNCAT,0.786658406
"The appellant claimed that the respondent breached this duty by negligently undervaluing and under-certifying the appellant’s works, leading to the following losses:",UNCAT,0.869470954
"(a)     $2,234,704.24, being the difference between the amount claimed by the appellant for works done on site, and the certified amount in progress payment No 23;",UNCAT,0.858731866
"(b)     $290,102.25, being underpayment of variation orders;",UNCAT,0.999314785
"(c)     $629,994.59, being loss of profit from the balance of works;",UNCAT,0.995631456
"(d)     $124,827.02, being loss of management fees from mechanical and electrical variation orders; and",UNCAT,0.991245091
"(e)     $530,324.08, being loss of interest.",UNCAT,0.999924302
"20     In the event, the trial judge dismissed the appellant’s claim.",UNCAT,0.966158807
"The trial judge found that the respondent did not owe a duty of care to the appellant to avoid causing the latter to suffer pure economic loss through its (the respondent’s) negligent conduct: the Judgment at [92]. Notwithstanding this finding, the trial judge went on to consider the other “main issues that arose from the evidence adduced at the trial” and held that even if a duty of care had been owed, the evidence was “against the [appellant]” and “clearly disproved the breach of any such duty by the [respondent] to the [appellant]”: the Judgment at [92], [93] and [190].",CONCLUSION,0.553692818
Issues on appeal,UNCAT,0.981760204
"21     It is trite law that, in order to succeed in a claim under the tort of negligence, a claimant has to establish that (a) the defendant owes the claimant a duty of care; (b) the defendant has breached that duty of care by acting (or omitting to act) below the standard of care required of it; (c) the defendant’s breach has caused the claimant damage; (d) the claimant’s losses arising from the defendant’s breach are not too remote; and (e) such losses can be adequately proved and quantified: see, for example, Clerk & Lindsell on Torts (Sweet & Maxwell, 19th Ed, 2006) at para 8-04.",UNCAT,0.840428948
"22     Accordingly, the first issue which we had to consider was whether there was a duty of care owed by the respondent to the appellant in the manner we have outlined earlier.",UNCAT,0.970304668
"As we found against the appellant on this threshold issue, we did not have to consider the other issues of breach, causation and remoteness.",UNCAT,0.982172191
Trial judge’s decision in relation to the duty of care,UNCAT,0.966394424
"23     In considering the duty of care issue, the trial judge applied both the two-stage test in Anns v Merton London Borough Council [1978] AC 728 (“Anns”) and the three-part test in Caparo Industries Plc v Dickman [1990] 2 AC 605 (“Caparo”) and reached the same result that there was no duty of care, an implicit judicial recognition of the state of confusion which belabours the local law in respect to the applicable test to be used to determine the existence of a duty of care for cases involving claims for pure economic loss (“cases of pure economic loss”) or, indeed, cases involving claims of personal injuries and physical damage (collectively “cases of physical damage”).",LEGAL_TEST,0.567320526
"24     In coming to her decision, the trial judge placed considerable emphasis on the following factors: (a) there was no assumption of direct responsibility by the respondent to the appellant for the economic loss claimed; (b) there was no direct contractual relationship between the appellant as the main contractor and the respondent as the SO; (c) the appellant had recourse under the Contract to claim additional payments for variation works from the Employer; and (d) the property in question was an army camp, not a residential development: see the Judgment at [54].",UNCAT,0.921823144
"25     Before we deal with the substantive arguments in relation to the duty of care, it is first necessary for us to determine the applicable test for ascertaining the existence of a duty of care.",UNCAT,0.85712564
Applicable test for duty of care,LEGAL_TEST,0.998935521
The parties’ arguments,UNCAT,1
"26     Before us, the appellant submitted that the proper test to ascertain the existence of a duty of care for cases of pure economic loss should be a combination of the common elements from both the two-stage test in Anns and the three-part test in Caparo, citing the views contained in Andrew Phang, Saw Cheng Lim & Gary Chan, “Of Precedent, Theory and Practice – The Case for a Return to Anns” [2006] Sing JLS 1.",LEGAL_TEST,0.527718544
"Adopting this approach, the appellant submitted that the following issues arose for our consideration in relation to the existence of a duty of care in this case: (a) whether, in the circumstances of this case, there existed a relationship of sufficient proximity so as to give rise to a duty of care on the part of the respondent in respect of a pure economic loss; and (b) if so, whether there was any policy consideration that should nonetheless limit or negate the duty established under the first stage.",UNCAT,0.879808247
"However, the appellant also submitted that before these two issues could even be considered, the court should determine a preliminary issue first, viz, whether the damage suffered by the appellant was foreseeable by the respondent.",UNCAT,0.910182297
